


Ferg_test_2 	-->	 Hume
Ferg_test_3 	-->	 Hume
Ferg_test_30 	-->	 Hume
Ferg_test_34 	-->	 Hume
Ferg_test_36 	-->	 Hume
Ferg_test_37 	-->	 Hume
Ferg_test_38 	-->	 Hume
Ferg_test_39 	-->	 Hume
Ferg_test_40 	-->	 Hume
Ferg_test_43 	-->	 Hume
Ferg_test_48 	-->	 Hume
Ferg_test_53 	-->	 Hume
Ferg_test_55 	-->	 Hume
Ferg_test_56 	-->	 Hume
Ferg_test_59 	-->	 Hume
Ferg_test_61 	-->	 Hume
Ferg_test_63 	-->	 Hume
Ferg_test_89 	-->	 Hume
Hume_test_1 	-->	 Ferg
Hume_test_3 	-->	 Ferg
Hume_test_107 	-->	 Ferg
sister_peg_checked_1 	-->	 Ferg
sister_peg_checked_2 	-->	 Hume
sister_peg_checked_3 	-->	 Ferg
sister_peg_checked_4 	-->	 Hume
sister_peg_checked_5 	-->	 Hume
sister_peg_checked_6 	-->	 Hume
sister_peg_checked_7 	-->	 Hume
sister_peg_checked_8 	-->	 Ferg
sister_peg_checked_9 	-->	 Ferg
sister_peg_checked_10 	-->	 Hume
sister_peg_checked_11 	-->	 Ferg
sister_peg_checked_12 	-->	 Hume

100 MFW , culled @ 0%,  369 of 390	(94.6%)



Ferg_test_2 	-->	 Hume
Ferg_test_3 	-->	 Hume
Ferg_test_30 	-->	 Hume
Ferg_test_36 	-->	 Hume
Ferg_test_59 	-->	 Hume
Hume_test_3 	-->	 Ferg
Hume_test_106 	-->	 Ferg
Hume_test_107 	-->	 Ferg
Hume_test_241 	-->	 Ferg
Hume_test_277 	-->	 Ferg
sister_peg_checked_1 	-->	 Ferg
sister_peg_checked_2 	-->	 Hume
sister_peg_checked_3 	-->	 Hume
sister_peg_checked_4 	-->	 Hume
sister_peg_checked_5 	-->	 Hume
sister_peg_checked_6 	-->	 Hume
sister_peg_checked_7 	-->	 Ferg
sister_peg_checked_8 	-->	 Ferg
sister_peg_checked_9 	-->	 Ferg
sister_peg_checked_10 	-->	 Hume
sister_peg_checked_11 	-->	 Ferg
sister_peg_checked_12 	-->	 Hume

200 MFW , culled @ 0%,  380 of 390	(97.4%)



Ferg_test_2 	-->	 Hume
Ferg_test_3 	-->	 Hume
Ferg_test_30 	-->	 Hume
Ferg_test_36 	-->	 Hume
Ferg_test_37 	-->	 Hume
Ferg_test_62 	-->	 Hume
Hume_test_2 	-->	 Ferg
Hume_test_3 	-->	 Ferg
Hume_test_106 	-->	 Ferg
