Source,Target,Weight,Type
Ferguson_1756_Reflection_on_militia,Ferguson_1757_Morality_stage-plays,9,undirected
Ferguson_1756_Reflection_on_militia,Ferguson_1767_Civil_Society_4610,4,undirected
Ferguson_1756_Reflection_on_militia,Ferguson_T114601_19_Principles_Moral_Political,1,undirected
Ferguson_1756_Reflection_on_militia,Hume_essays_moral_political_1741,2,undirected
Ferguson_1757_Morality_stage-plays,Ferguson_1756_Reflection_on_militia,9,undirected
Ferguson_1757_Morality_stage-plays,Ferguson_Sermon_preached_in_the_ersh,1,undirected
Ferguson_1757_Morality_stage-plays,Ferguson_T012677_3_Pamphlet_Dr_Price,6,undirected
Ferguson_1757_Morality_stage-plays,Hume_essays_moral_political_1741,1,undirected
Ferguson_1757_Morality_stage-plays,Hume_Treatise_Human_Nature_vol_3,1,undirected
Ferguson_1767_Civil_Society_4610,Ferguson_1756_Reflection_on_militia,4,undirected
Ferguson_1767_Civil_Society_4610,Ferguson_Analysis_of_pneumatics_and_moral_philosophy,1,undirected
Ferguson_1767_Civil_Society_4610,Ferguson_Sermon_preached_in_the_ersh,1,undirected
Ferguson_1767_Civil_Society_4610,Ferguson_T076224_16_Inst_Moral_Phil,4,undirected
Ferguson_1767_Civil_Society_4610,Ferguson_T114601_19_Principles_Moral_Political,4,undirected
Ferguson_1767_Civil_Society_4610,Ferguson_T114601_29_Principles_Moral_Political,7,undirected
Ferguson_Analysis_of_pneumatics_and_moral_philosophy,Ferguson_1767_Civil_Society_4610,1,undirected
Ferguson_Analysis_of_pneumatics_and_moral_philosophy,Ferguson_T076224_16_Inst_Moral_Phil,6,undirected
Ferguson_Analysis_of_pneumatics_and_moral_philosophy,Ferguson_T114601_19_Principles_Moral_Political,1,undirected
Ferguson_Analysis_of_pneumatics_and_moral_philosophy,Ferguson_T114601_29_Principles_Moral_Political,4,undirected
Ferguson_biographical_sketch,Ferguson_minutes_of_the_life,5,undirected
Ferguson_biographical_sketch,Ferguson_Roman_Republic_Vol_1_London,4,undirected
Ferguson_biographical_sketch,Ferguson_Roman_Republic_Vol_2_Edinburgh,7,undirected
Ferguson_biographical_sketch,Hume_History_of_England_Tudor_vol_1_4709,2,undirected
Ferguson_biographical_sketch,Hume_Life_of_David_Hume-Smith-Removed,6,undirected
Ferguson_dialogues_from_manuscript_edited,Ferguson_letters_edited_w_npp,7,undirected
Ferguson_dialogues_from_manuscript_edited,Ferguson_Manuscripts_edited,8,undirected
Ferguson_dialogues_from_manuscript_edited,Ferguson_T114601_19_Principles_Moral_Political,1,undirected
Ferguson_dialogues_from_manuscript_edited,Hume_Dialogues_Concerning_Natural_Religion,4,undirected
Ferguson_letters_edited_w_npp,Ferguson_dialogues_from_manuscript_edited,7,undirected
Ferguson_letters_edited_w_npp,Ferguson_T012677_3_Pamphlet_Dr_Price,3,undirected
Ferguson_letters_edited_w_npp,Hume_essays_moral_political_1741,1,undirected
Ferguson_letters_edited_w_npp,sister_peg_checked,6,undirected
Ferguson_Manuscripts_edited,Ferguson_dialogues_from_manuscript_edited,8,undirected
Ferguson_Manuscripts_edited,Ferguson_Of_Mans_Progressive_Nature_Excerpt,2,undirected
Ferguson_Manuscripts_edited,Ferguson_T114601_19_Principles_Moral_Political,9,undirected
Ferguson_Manuscripts_edited,Ferguson_T114601_29_Principles_Moral_Political,9,undirected
Ferguson_minutes_of_the_life,Ferguson_biographical_sketch,5,undirected
Ferguson_minutes_of_the_life,Ferguson_Roman_Republic_Vol_2_Edinburgh,5,undirected
Ferguson_minutes_of_the_life,Ferguson_T114601_29_Principles_Moral_Political,2,undirected
Ferguson_minutes_of_the_life,Hume_Life_of_David_Hume-Smith-Removed,4,undirected
Ferguson_Notes_on_the_enquiry_into_General_Sir_William_Howe_s_conduct_in_the_American_War,Ferguson_T012677_3_Pamphlet_Dr_Price,1,undirected
Ferguson_Notes_on_the_enquiry_into_General_Sir_William_Howe_s_conduct_in_the_American_War,Ferguson_T114601_19_Principles_Moral_Political,6,undirected
Ferguson_Notes_on_the_enquiry_into_General_Sir_William_Howe_s_conduct_in_the_American_War,Hume_essays_moral_political_1741,4,undirected
Ferguson_Notes_on_the_enquiry_into_General_Sir_William_Howe_s_conduct_in_the_American_War,Hume_Original Contract_passive_obedience_and_parties,1,undirected
Ferguson_Of_Mans_Progressive_Nature_Excerpt,Ferguson_Manuscripts_edited,2,undirected
Ferguson_Of_Mans_Progressive_Nature_Excerpt,Ferguson_T114601_19_Principles_Moral_Political,4,undirected
Ferguson_Of_Mans_Progressive_Nature_Excerpt,Ferguson_T114601_29_Principles_Moral_Political,6,undirected
Ferguson_Roman_Republic_Vol_1_London,Ferguson_biographical_sketch,4,undirected
Ferguson_Roman_Republic_Vol_1_London,Ferguson_Roman_Republic_Vol_2_Edinburgh,12,undirected
Ferguson_Roman_Republic_Vol_1_London,Hume_History_of_England_Caesar_vol_1,2,undirected
Ferguson_Roman_Republic_Vol_1_London,Hume_History_of_England_Caesar_vol_2,4,undirected
Ferguson_Roman_Republic_Vol_2_Edinburgh,Ferguson_biographical_sketch,7,undirected
Ferguson_Roman_Republic_Vol_2_Edinburgh,Ferguson_minutes_of_the_life,5,undirected
Ferguson_Roman_Republic_Vol_2_Edinburgh,Ferguson_Roman_Republic_Vol_1_London,12,undirected
Ferguson_Roman_Republic_Vol_2_Edinburgh,Hume_History_of_England_Caesar_vol_2,4,undirected
Ferguson_Roman_Republic_Vol_2_Edinburgh,Hume_History_of_England_Tudor_vol_1_4709,1,undirected
Ferguson_Roman_Republic_Vol_2_Edinburgh,Hume_Life_of_David_Hume-Smith-Removed,2,undirected
Ferguson_Sermon_preached_in_the_ersh,Ferguson_1757_Morality_stage-plays,1,undirected
Ferguson_Sermon_preached_in_the_ersh,Ferguson_1767_Civil_Society_4610,1,undirected
Ferguson_Sermon_preached_in_the_ersh,Ferguson_T012677_3_Pamphlet_Dr_Price,4,undirected
Ferguson_Sermon_preached_in_the_ersh,Hume_essays_moral_political_1741,6,undirected
Ferguson_T012677_3_Pamphlet_Dr_Price,Ferguson_1757_Morality_stage-plays,6,undirected
Ferguson_T012677_3_Pamphlet_Dr_Price,Ferguson_letters_edited_w_npp,3,undirected
Ferguson_T012677_3_Pamphlet_Dr_Price,Ferguson_Notes_on_the_enquiry_into_General_Sir_William_Howe_s_conduct_in_the_American_War,1,undirected
Ferguson_T012677_3_Pamphlet_Dr_Price,Ferguson_Sermon_preached_in_the_ersh,4,undirected
Ferguson_T012677_3_Pamphlet_Dr_Price,Ferguson_T114601_19_Principles_Moral_Political,3,undirected
Ferguson_T012677_3_Pamphlet_Dr_Price,Hume_essays_moral_political_1741,5,undirected
Ferguson_T012677_3_Pamphlet_Dr_Price,Hume_Original Contract_passive_obedience_and_parties,1,undirected
Ferguson_T012677_3_Pamphlet_Dr_Price,Hume_Petition_Bellmen,6,undirected
Ferguson_T012677_3_Pamphlet_Dr_Price,Hume_Political_Discourses,3,undirected
Ferguson_T076224_16_Inst_Moral_Phil,Ferguson_1767_Civil_Society_4610,4,undirected
Ferguson_T076224_16_Inst_Moral_Phil,Ferguson_Analysis_of_pneumatics_and_moral_philosophy,6,undirected
Ferguson_T076224_16_Inst_Moral_Phil,Ferguson_T114601_19_Principles_Moral_Political,7,undirected
Ferguson_T076224_16_Inst_Moral_Phil,Ferguson_T114601_29_Principles_Moral_Political,6,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_1756_Reflection_on_militia,1,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_1767_Civil_Society_4610,4,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_Analysis_of_pneumatics_and_moral_philosophy,1,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_dialogues_from_manuscript_edited,1,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_Manuscripts_edited,9,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_Notes_on_the_enquiry_into_General_Sir_William_Howe_s_conduct_in_the_American_War,6,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_Of_Mans_Progressive_Nature_Excerpt,4,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_T012677_3_Pamphlet_Dr_Price,3,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_T076224_16_Inst_Moral_Phil,7,undirected
Ferguson_T114601_19_Principles_Moral_Political,Ferguson_T114601_29_Principles_Moral_Political,12,undirected
Ferguson_T114601_29_Principles_Moral_Political,Ferguson_1767_Civil_Society_4610,7,undirected
Ferguson_T114601_29_Principles_Moral_Political,Ferguson_Analysis_of_pneumatics_and_moral_philosophy,4,undirected
Ferguson_T114601_29_Principles_Moral_Political,Ferguson_Manuscripts_edited,9,undirected
Ferguson_T114601_29_Principles_Moral_Political,Ferguson_minutes_of_the_life,2,undirected
Ferguson_T114601_29_Principles_Moral_Political,Ferguson_Of_Mans_Progressive_Nature_Excerpt,6,undirected
Ferguson_T114601_29_Principles_Moral_Political,Ferguson_T076224_16_Inst_Moral_Phil,6,undirected
Ferguson_T114601_29_Principles_Moral_Political,Ferguson_T114601_19_Principles_Moral_Political,12,undirected
Hume_A Letter from a Gentleman,Hume_An_Enquiry_Principal_Morals,2,undirected
Hume_A Letter from a Gentleman,Hume_Dialogues_Concerning_Natural_Religion,5,undirected
Hume_A Letter from a Gentleman,Hume_Philosophical_Essays_Human_Understanding,5,undirected
Hume_An_Abstract_of_a_book,Hume_Philosophical_Essays_Human_Understanding,4,undirected
Hume_An_Abstract_of_a_book,Hume_Treatise_Human_Nature_vol_1,6,undirected
Hume_An_Abstract_of_a_book,Hume_Treatise_Human_Nature_vol_3,2,undirected
Hume_An_Enquiry_Principal_Morals,Hume_A Letter from a Gentleman,2,undirected
