Source,Target,Weight,Type
Ferguson_1756_Reflection_on_militia,Ferguson_1757_Morality_stage.plays,15,undirected
Ferguson_1756_Reflection_on_militia,Hume_essays_moral_political_1741,10,undirected
Ferguson_1756_Reflection_on_militia,Hume_Four_Dissertations,4,undirected
Ferguson_1756_Reflection_on_militia,Hume_Treatise_human_nature_vol_2,1,undirected
Ferguson_1757_Morality_stage.plays,Ferguson_1756_Reflection_on_militia,15,undirected
Ferguson_1757_Morality_stage.plays,Ferguson_Sermon_preached_in_the_ersh,15,undirected
Ferguson_1757_Morality_stage.plays,Hume_essays_moral_political_1741,11,undirected
Ferguson_1757_Morality_stage.plays,Hume_Philosophical_Essays_Human_Understanding,5,undirected
Ferguson_1757_Morality_stage.plays,Hume_Treatise_Human_Nature_vol_3,14,undirected
Ferguson_1767_Civil_Society_4610,Ferguson_T076224_16_Inst_Moral_Phil,6,undirected
Ferguson_1767_Civil_Society_4610,Ferguson_T114601_19_Principles_Moral_Political,9,undirected
Ferguson_1767_Civil_Society_4610,Ferguson_T114601_29_Principles_Moral_Political,15,undirected
Ferguson_Analysis_of_pneumatics_and_moral_philosophy,Ferguson_dialogues_from_manuscript_edited,10,undirected
Ferguson_Analysis_of_pneumatics_and_moral_philosophy,Ferguson_T076224_16_Inst_Moral_Phil,15,undirected
Ferguson_Analysis_of_pneumatics_and_moral_philosophy,Hume_An_Enquiry_Principal_Morals,5,undirected
Ferguson_biographical_sketch,Ferguson_minutes_of_the_life,15,undirected
Ferguson_biographical_sketch,Ferguson_Roman_Republic_Vol_1_London,2,undirected
Ferguson_biographical_sketch,Ferguson_Roman_Republic_Vol_2_Edinburgh,25,undirected
Ferguson_biographical_sketch,Hume_History_of_England_Caesar_vol_2,3,undirected
Ferguson_biographical_sketch,Hume_History_of_England_Tudor_vol_1_4709,10,undirected
Ferguson_dialogues_from_manuscript_edited,Ferguson_Analysis_of_pneumatics_and_moral_philosophy,10,undirected
Ferguson_dialogues_from_manuscript_edited,Ferguson_letters_edited_w_npp,15,undirected
Ferguson_dialogues_from_manuscript_edited,Ferguson_Manuscripts_edited,15,undirected
Ferguson_dialogues_from_manuscript_edited,Ferguson_T114601_19_Principles_Moral_Political,1,undirected
Ferguson_dialogues_from_manuscript_edited,Hume_An_Abstract_of_a_book,2,undirected
Ferguson_dialogues_from_manuscript_edited,Hume_Dialogues_Concerning_Natural_Religion,9,undirected
Ferguson_dialogues_from_manuscript_edited,Hume_two_essays_on_suicide_immorality_soul,3,undirected
Ferguson_letters_edited_w_npp,Ferguson_dialogues_from_manuscript_edited,15,undirected
Ferguson_letters_edited_w_npp,Hume_Archibald_preface_edition,10,undirected
Ferguson_letters_edited_w_npp,Hume_Dialogues_Concerning_Natural_Religion,1,undirected
Ferguson_letters_edited_w_npp,Hume_Life_of_David_Hume.Smith.Removed,15,undirected
Ferguson_letters_edited_w_npp,sister_peg_checked,4,undirected
Ferguson_Manuscripts_edited,Ferguson_dialogues_from_manuscript_edited,15,undirected
Ferguson_Manuscripts_edited,Ferguson_Notes_on_the_enquiry_into_General_Sir_William_Howe_s_conduct_in_the_American_War,10,undirected
Ferguson_Manuscripts_edited,Ferguson_Of_Mans_Progressive_Nature_Excerpt,5,undirected
Ferguson_Manuscripts_edited,Ferguson_T076224_16_Inst_Moral_Phil,10,undirected
Ferguson_Manuscripts_edited,Ferguson_T114601_19_Principles_Moral_Political,25,undirected
Ferguson_Manuscripts_edited,Ferguson_T114601_29_Principles_Moral_Political,19,undirected
Ferguson_minutes_of_the_life,Ferguson_biographical_sketch,15,undirected
Ferguson_minutes_of_the_life,Ferguson_Of_Mans_Progressive_Nature_Excerpt,1,undirected
Ferguson_minutes_of_the_life,Ferguson_Roman_Republic_Vol_2_Edinburgh,7,undirected
Ferguson_minutes_of_the_life,Ferguson_T114601_29_Principles_Moral_Political,7,undirected
Ferguson_Notes_on_the_enquiry_into_General_Sir_William_Howe_s_conduct_in_the_American_War,Ferguson_Manuscripts_edited,10,undirected
Ferguson_Notes_on_the_enquiry_into_General_Sir_William_Howe_s_conduct_in_the_American_War,Ferguson_T012677_3_Pamphlet_Dr_Price,5,undirected
Ferguson_Notes_on_the_enquiry_into_General_Sir_William_Howe_s_conduct_in_the_American_War,Ferguson_T114601_19_Principles_Moral_Political,15,undirected
Ferguson_Of_Mans_Progressive_Nature_Excerpt,Ferguson_Manuscripts_edited,5,undirected
Ferguson_Of_Mans_Progressive_Nature_Excerpt,Ferguson_minutes_of_the_life,1,undirected
Ferguson_Of_Mans_Progressive_Nature_Excerpt,Ferguson_T114601_19_Principles_Moral_Political,10,undirected
Ferguson_Of_Mans_Progressive_Nature_Excerpt,Ferguson_T114601_29_Principles_Moral_Political,15,undirected
Ferguson_Roman_Republic_Vol_1_London,Ferguson_biographical_sketch,2,undirected
Ferguson_Roman_Republic_Vol_1_London,Ferguson_Roman_Republic_Vol_2_Edinburgh,30,undirected
Ferguson_Roman_Republic_Vol_1_London,Hume_History_of_England_Caesar_vol_2,10,undirected
Ferguson_Roman_Republic_Vol_1_London,Hume_History_of_England_Tudor_vol_1_4709,5,undirected
Ferguson_Roman_Republic_Vol_2_Edinburgh,Ferguson_biographical_sketch,25,undirected
Ferguson_Roman_Republic_Vol_2_Edinburgh,Ferguson_minutes_of_the_life,7,undirected
