Source,Target,Weight,Type
Carlyle_American_Colonies_OCR,Carlyle_Essay_on_taxes_OCR,3,undirected
Carlyle_American_Colonies_OCR,Carlyle_National_Depravity_OCR,17,undirected
Carlyle_American_Colonies_OCR,Carlyle_Sermon_Death_Dalrymple_OCR,2,undirected
Carlyle_American_Colonies_OCR,Carlyle_Tendency_of_Church_OCR,8,undirected
Carlyle_American_Colonies_OCR,Carlyle_The_Question_relating,15,undirected
Carlyle_American_Colonies_OCR,Ferguson_Sermon_preached_in_the_ersh,8,undirected
Carlyle_American_Colonies_OCR,Ferguson_T012677_3_Pamphlet_Dr_Price,10,undirected
Carlyle_American_Colonies_OCR,Hume_Petition_Bellmen,1,undirected
Carlyle_AN_ARGUMENT,Carlyle_Liberal_education_OCR,1,undirected
Carlyle_AN_ARGUMENT,Carlyle_Plain_Reasons,17,undirected
Carlyle_AN_ARGUMENT,Carlyle_Stipend_OCR,8,undirected
Carlyle_AN_ARGUMENT,Ferguson_letters_edited_w_npp,6,undirected
Carlyle_AN_ARGUMENT,Hume_Petition_Bellmen,6,undirected
Carlyle_AN_ARGUMENT,sister_peg_checked,1,undirected
Carlyle_Essay_on_taxes_OCR,Carlyle_American_Colonies_OCR,3,undirected
Carlyle_Essay_on_taxes_OCR,Carlyle_Stipend_OCR,2,undirected
Carlyle_Essay_on_taxes_OCR,Ferguson_T012677_3_Pamphlet_Dr_Price,6,undirected
Carlyle_Essay_on_taxes_OCR,Hume_Archibald_preface_edition,2,undirected
Carlyle_Essay_on_taxes_OCR,Hume_Political_Discourses,1,undirected
Carlyle_Essay_on_taxes_OCR,Kames_67200302_tcp,3,undirected
Carlyle_Essay_on_taxes_OCR,Kames_837000300_tcp,1,undirected
Carlyle_Liberal_education_OCR,Carlyle_AN_ARGUMENT,1,undirected
Carlyle_Liberal_education_OCR,Carlyle_National_Depravity_OCR,6,undirected
Carlyle_Liberal_education_OCR,Carlyle_Sermon_Death_Dalrymple_OCR,16,undirected
Carlyle_Liberal_education_OCR,Carlyle_Tendency_of_Church_OCR,9,undirected
Carlyle_Liberal_education_OCR,Hume_Petition_Bellmen,3,undirected
Carlyle_National_Depravity_OCR,Carlyle_American_Colonies_OCR,17,undirected
Carlyle_National_Depravity_OCR,Carlyle_Liberal_education_OCR,6,undirected
Carlyle_National_Depravity_OCR,Carlyle_Sermon_Death_Dalrymple_OCR,13,undirected
Carlyle_National_Depravity_OCR,Carlyle_The_Question_relating,6,undirected
Carlyle_National_Depravity_OCR,Hume_Petition_Bellmen,3,undirected
Carlyle_Plain_Reasons,Carlyle_AN_ARGUMENT,17,undirected
Carlyle_Plain_Reasons,Carlyle_Stipend_OCR,3,undirected
Carlyle_Plain_Reasons,Carlyle_The_Question_relating,13,undirected
Carlyle_Plain_Reasons,Ferguson_letters_edited_w_npp,7,undirected
Carlyle_Plain_Reasons,Hume_Archibald_preface_edition,4,undirected
Carlyle_Plain_Reasons,sister_peg_checked,5,undirected
Carlyle_Sermon_Death_Dalrymple_OCR,Carlyle_American_Colonies_OCR,2,undirected
Carlyle_Sermon_Death_Dalrymple_OCR,Carlyle_Liberal_education_OCR,16,undirected
Carlyle_Sermon_Death_Dalrymple_OCR,Carlyle_National_Depravity_OCR,13,undirected
Carlyle_Sermon_Death_Dalrymple_OCR,Ferguson_Sermon_preached_in_the_ersh,8,undirected
Carlyle_Stipend_OCR,Carlyle_AN_ARGUMENT,8,undirected
Carlyle_Stipend_OCR,Carlyle_Essay_on_taxes_OCR,2,undirected
Carlyle_Stipend_OCR,Carlyle_Plain_Reasons,3,undirected
Carlyle_Stipend_OCR,Carlyle_The_Question_relating,4,undirected
Carlyle_Stipend_OCR,Kames_32300303_tcp,5,undirected
Carlyle_Tendency_of_Church_OCR,Carlyle_American_Colonies_OCR,8,undirected
Carlyle_Tendency_of_Church_OCR,Carlyle_Liberal_education_OCR,9,undirected
Carlyle_Tendency_of_Church_OCR,Carlyle_The_Question_relating,1,undirected
Carlyle_Tendency_of_Church_OCR,Ferguson_T012677_3_Pamphlet_Dr_Price,11,undirected
Carlyle_Tendency_of_Church_OCR,Hume_Petition_Bellmen,3,undirected
Carlyle_The_Question_relating,Carlyle_American_Colonies_OCR,15,undirected
Carlyle_The_Question_relating,Carlyle_National_Depravity_OCR,6,undirected
Carlyle_The_Question_relating,Carlyle_Plain_Reasons,13,undirected
Carlyle_The_Question_relating,Carlyle_Stipend_OCR,4,undirected
Carlyle_The_Question_relating,Carlyle_Tendency_of_Church_OCR,1,undirected
Carlyle_The_Question_relating,Ferguson_1756_Reflection_on_militia,6,undirected
Carlyle_The_Question_relating,Ferguson_1757_Morality_stage-plays,3,undirected
Carlyle_The_Question_relating,Ferguson_Sermon_preached_in_the_ersh,3,undirected
Carlyle_The_Question_relating,Ferguson_T012677_3_Pamphlet_Dr_Price,1,undirected
Ferguson_1756_Reflection_on_militia,Carlyle_The_Question_relating,6,undirected
Ferguson_1756_Reflection_on_militia,Ferguson_1757_Morality_stage-plays,18,undirected
Ferguson_1756_Reflection_on_militia,Ferguson_1767_Civil_Society_4610,3,undirected
Ferguson_1757_Morality_stage-plays,Carlyle_The_Question_relating,3,undirected
Ferguson_1757_Morality_stage-plays,Ferguson_1756_Reflection_on_militia,18,undirected
Ferguson_1757_Morality_stage-plays,Ferguson_letters_edited_w_npp,1,undirected
Ferguson_1757_Morality_stage-plays,Ferguson_Notes_on_the_enquiry_into_General_Sir_William_Howe_s_conduct_in_the_American_War,2,undirected
Ferguson_1757_Morality_stage-plays,Ferguson_T012677_3_Pamphlet_Dr_Price,1,undirected
Ferguson_1757_Morality_stage-plays,Ferguson_T114601_19_Principles_Moral_Political,4,undirected
Ferguson_1767_Civil_Society_4610,Ferguson_1756_Reflection_on_militia,3,undirected
